first_ledger_index,                last_ledger_index,                first_closing_time,                last_closing_time,                num_ledgers,                num_transactions,               Payment tx,               OfferCreate tx,               OfferCancel tx,               TrustSet tx,               AccountSet tx,               accounts_created
581343, 587166, 2013-04-27 23:59:50 +00:00, 2013-04-28 23:59:50 +00:00, 5824, 3006, 870, 1135, 787, 214, 0, 86
587166, 593138, 2013-04-28 23:59:50 +00:00, 2013-04-29 23:59:50 +00:00, 5973, 3592, 1341, 1152, 896, 202, 1, 184
593138, 598534, 2013-04-29 23:59:50 +00:00, 2013-04-30 23:59:50 +00:00, 5397, 2347, 687, 862, 637, 161, 0, 150
598534, 604187, 2013-04-30 23:59:50 +00:00, 2013-05-02 00:00:00 +00:00, 5654, 2846, 657, 1180, 866, 143, 0, 96
604187, 610065, 2013-05-02 00:00:00 +00:00, 2013-05-02 23:59:50 +00:00, 5879, 3367, 782, 1385, 976, 224, 0, 137
610065, 616270, 2013-05-02 23:59:50 +00:00, 2013-05-03 23:59:50 +00:00, 6206, 3911, 811, 1859, 1038, 202, 1, 122
616270, 622868, 2013-05-03 23:59:50 +00:00, 2013-05-05 00:00:00 +00:00, 6599, 5792, 929, 2616, 1945, 300, 2, 211
622868, 630905, 2013-05-05 00:00:00 +00:00, 2013-05-06 00:00:00 +00:00, 8038, 7914, 1720, 3533, 2106, 555, 0, 250
630905, 638808, 2013-05-06 00:00:00 +00:00, 2013-05-06 23:59:50 +00:00, 7904, 7597, 2537, 2893, 1759, 408, 0, 236
638808, 645317, 2013-05-06 23:59:50 +00:00, 2013-05-08 00:00:00 +00:00, 6510, 4186, 1151, 1751, 818, 460, 6, 159
645317, 651210, 2013-05-08 00:00:00 +00:00, 2013-05-08 23:59:50 +00:00, 5894, 3717, 938, 1535, 946, 295, 3, 170
651210, 662105, 2013-05-08 23:59:50 +00:00, 2013-05-10 00:00:00 +00:00, 10896, 14559, 10935, 1999, 1287, 338, 0, 188
662105, 673771, 2013-05-10 00:00:00 +00:00, 2013-05-11 00:00:00 +00:00, 11667, 13707, 9243, 2518, 1664, 282, 0, 477
673771, 688084, 2013-05-11 00:00:00 +00:00, 2013-05-12 00:00:00 +00:00, 14314, 18955, 12617, 3660, 2247, 431, 0, 107
688084, 700691, 2013-05-12 00:00:00 +00:00, 2013-05-13 00:00:00 +00:00, 12608, 15204, 12382, 1505, 926, 391, 0, 110
